productid,title,brandname,imgcode,styletype,colorfamily,pattern,neckline,l1name,l2name,brickname,total_qty_sold,mrp,weekly_rate_of_sale,total_active_days
443005524_mustard,micro print button-down straight kurta,avaasa,20221123/fyz8/637dc066f997ddfdbd92a3d7,straight,yellow,micro-print,collar,Women,Ethnic Wear,Kurtas,1956,699.0,4237,3.23
443007693_black,floral print straight kurta,avaasa,20230125/M0p6/63d0d216aeb269c651f7a254,straight,black,floral,round,Women,Ethnic Wear,Kurtas,2687,699.0,2306,8.15
443007695_white,printed straight kurta,avaasa,20230203/PdxO/63dcab72aeb269c6510cf85d,straight,white,geometric,round,Women,Ethnic Wear,Kurtas,445,699.0,2260,1.38
443007694_darkgreen,printed straight kurta,avaasa,20221219/asiB/63a00a93f997ddfdbddc2edf,straight,green,indian,round,Women,Ethnic Wear,Kurtas,359,699.0,2136,1.18
443005879_black,leaf print straight kurta,fusion,20221115/T7jz/6373d246aeb269659c8fb652,straight,black,leaf,round,Women,Ethnic Wear,Kurtas,1542,599.0,2073,5.21
443003260_aqua,floral print round-neck straight kurta,avaasa,20221103/4pzu/6363e58eaeb269659c704f95,straight,blue,floral,round,Women,Ethnic Wear,Kurtas,3225,699.0,2056,10.98
443003238_navy,printed round-neck straight kurta,avaasa,20221025/AwmJ/6357845daeb269659c5835c5,straight,navy,indian,round,Women,Ethnic Wear,Kurtas,632,699.0,1913,2.31
466925169_black,men flat-front flared cargo pants,paralians,20231228/kigb/658c86b7ddf7791519f0274b,cargo,black,solid,,Men,Western Wear,Trousers & Pants,3110,999.0,1808,12.04
443031396_rust,men graphic print boxy fit crew-neck t-shirt,dnmx,20231211/aY7e/65772144afa4cf41f5c58ed5,crew,rust,graphic,crew,Men,Western Wear,Tshirts,272,599.0,1743,1.09
443007690_magntafusha,printed straight kurta,avaasa,20221216/USl7/639c8e6aaeb269659cef4218,straight,pink,floral,round,Women,Ethnic Wear,Kurtas,283,699.0,1631,1.21
443007665_blue,micro print straight kurta,avaasa,20221209/exGo/63936bf0aeb269659ce115cc,straight,blue,micro-print,round,Women,Ethnic Wear,Kurtas,496,799.0,1597,2.17
443005532_ltbeige,printed v-neck straight kurta,avaasa,20221115/m824/6373d8eaaeb269659c8fd558,straight,beige,block-print,v,Women,Ethnic Wear,Kurtas,2016,799.0,1567,9.00
443003252_ltpink,floral print straight kurta,avaasa,20221018/vjme/634ecac5aeb269659c4c6ae9,basic,,,,Women,Ethnic Wear,Kurtas,696,699.0,1514,3.22
443012651_navy,slim fit cropped chinos,netplay,20230420/xW0W/64417026907deb497af78fec,chinos,navy,solid,,Men,Western Wear,Trousers & Pants,636,1849.0,1480,3.01
443005516_black,block print straight kurta,avaasa,20221123/6HCU/637dbfd6f997ddfdbd929d69,straight,black,block-print,v,Women,Ethnic Wear,Kurtas,249,699.0,1392,1.25
443005518_pink,printed straight kurta,avaasa,20230118/oAjs/63c79208f997dd708e104a87,straight,pink,indian,round,Women,Ethnic Wear,Kurtas,607,799.0,1383,3.07
443007674_mustard,printed straight kurta,avaasa,20221227/zaqr/63aa917af997ddfdbdfa52f0,straight,mustard,indian,round,Women,Ethnic Wear,Kurtas,2873,799.0,1282,15.69
443007663_navy,geometric print straight kurta,avaasa,20230111/Srcn/63be903eaeb269c651d774e6,straight,navy,geometric,collar,Women,Ethnic Wear,Kurtas,216,599.0,1258,1.20
443002738_pistagreen,embroidered-yoke straight kurta,fusion,20221018/WNin/634e48e8aeb269659c4abafd,straight,green,embroidery,round,Women,Ethnic Wear,Kurtas,208,799.0,1220,1.19
