store_id,zone,state,city,pincode,p1DC,status,format
8892,South 1,Karnataka,Bangalore,560055,R396,OPERATIONAL,Digital
TSF5,East,West Bengal,Kolkata,700035,SLKO,OPERATIONAL,Digital
TO71,EAST,Jharkhand,Ranchi,834003,R278,OPERATIONAL,DIGITAL EXPRESS MINI
8930,North 1,Rajasthan,Alwar,301001,SJ93,OPERATIONAL,Digital
7519,West 1,Maharashtra,Pune,411029,V014,OPERATIONAL,DIGITAL EXPRESS MINI
7737,North 1,Delhi NCR,Ghaziabad,201001,SJ93,OPERATIONAL,DIGITAL EXPRESS MINI
7838,East,West Bengal,Siliguri,734001,SLLN,OPERATIONAL,DIGITAL EXPRESS MINI
8731,South 2,Telangana,Hyderabad,500039,SE40,OPERATIONAL,Digital
6984,West 2,Madhya Pradesh,Chhindwara,480001,SACU,OPERATIONAL,DIGITAL EXPRESS MINI
9185,East,West Bengal,Purulia,723101,SLKO,OPERATIONAL,Digital
3731,North 2,Uttar Pradesh,Sikandarabad,203205,SJ93,OPERATIONAL,DIGITAL EXPRESS MINI
T83R,South 1,Karnataka,Bangalore,560078,R396,OPERATIONAL,DIGITAL EXPRESS MINI
7590,East,West Bengal,Kolkata,700040,SLKO,OPERATIONAL,DIGITAL EXPRESS MINI
7521,West 1,Maharashtra,Pune,411014,V014,OPERATIONAL,DIGITAL EXPRESS MINI
7734,West 2,Gujarat,Vadodara,390007,SLTY,OPERATIONAL,DIGITAL EXPRESS MINI
TE59,East,North East,Aizawl,796005,S597,OPERATIONAL,DIGITAL EXPRESS MINI
6648,South 1,Telangana,Ibrahimpatnam,501506,SE40,OPERATIONAL,DIGITAL EXPRESS MINI
TR67,South 2,Telangana,Hyderabad,500088,SE40,OPERATIONAL,Digital
9188,West 2,Madhya Pradesh,Jabalpur,482002,SACU,OPERATIONAL,DIGITAL EXPRESS MINI
T2SN,North 1,Jammu & Kashmir,Jammu,,Y695,OPERATIONAL,Digital
8944,North 2,Uttar Pradesh,Bareily,243002,SC28,OPERATIONAL,Digital
TDJ9,West 2,Madhya Pradesh,Jabalpur,482005,SACU,OPERATIONAL,DIGITAL EXPRESS MINI
TSD3,East,Assam,Tezpur,784001,S597,OPERATIONAL,Digital
T728,South 3,Tamil Nadu,Chennai,600100,SJ99,OPERATIONAL,Digital
T82A,West,Maharashtra,Nashik,,R696,OPERATIONAL,Digital
6144,West 1,Maharashtra,Mumbai,400071,R696,OPERATIONAL,DIGITAL EXPRESS MINI
TFI2,East,Jharkhand,Jamshedpur,831001,R278,OPERATIONAL,DIGITAL EXPRESS MINI
TI3G,East,West Bengal,Raiganj,,SLLN,OPERATIONAL,Digital
6178,East,Odisha,Dhenkanal,759001,R201,OPERATIONAL,DIGITAL EXPRESS MINI
TI8V,South 1,Telangana,Secunderabad,,SE40,OPERATIONAL,DIGITAL EXPRESS MINI
7645,North 1,Punjab,Ludhiana,141001,S0CV,OPERATIONAL,DIGITAL EXPRESS MINI
3834,East,West Bengal,Kolkata,700029,SLKO,OPERATIONAL,Digital
TTZ5,South 2,Andhra Pradesh,Narsaraopet,522601,S0UG,OPERATIONAL,Digital
6326,North 2,Uttar Pradesh,Saharanpur,247001,SLOR,OPERATIONAL,DIGITAL EXPRESS MINI
T662,South 1,Karnataka,Mysore,570001,R396,OPERATIONAL,Digital
9521,East,West Bengal,Kolkata,700064,SLKO,OPERATIONAL,DIGITAL EXPRESS MINI
6622,South 2,Kerala,Kochi,682017,SD78,OPERATIONAL,DIGITAL EXPRESS MINI
8697,South 2,Telangana,Hyderabad,500048,SE40,OPERATIONAL,Digital
