similargrouplevel,cluster_id,store_id
421001002,1,TSZ2
421001002,1,TPZ1
421001002,1,TEW8
421001002,1,TXYQ
421001002,1,TX6J
421001002,1,TX8B
421001002,1,TAHI
421001002,1,TWVE
421001002,1,TKD0
421001002,1,TX3J
421001002,1,TWVX
421001002,1,TO39
421001002,1,TTD3
421001002,1,TAA3
421001002,1,TWUY
421001002,1,TAGJ
421001002,1,TEU5
421001002,1,TDZ4
421001002,1,TX6Q
421001002,1,TWWO
421001002,1,TLH5
421001002,1,TEQ9
421001002,1,TDD3
421001002,1,TWUX
421001002,1,TFA0
421001002,1,TGV7
421001002,1,T81S
421001002,1,TWTK
421001002,1,TTE5
421001002,1,TM92
421001002,1,TZD7
421001002,1,TFZ1
421001002,1,TDY1
421001002,1,TY65
421001002,1,T43H
421001002,1,TPZ7
421001002,1,TLS7
421001002,1,TKB4
421001002,1,TTA6
421001002,1,TBA9
421001002,1,TP77
421001002,1,TEQ8
421001002,1,TAT5
421001002,1,TSZ0
421001002,1,TER4
421001002,1,TA7M
421001002,1,TWUH
421001002,1,TAQQ
421001002,1,TDY6
421001002,1,TDU3
421001002,1,TPZ5
421001002,1,TJF1
421001002,1,TWTI
421001002,1,TP63
421001002,1,TOP4
421001002,1,TO67
421001002,1,T83H
421001002,1,TFS1
421001002,1,TWWS
421001002,1,TAJA
421001002,1,TAZ3
421001002,1,T81T
421001002,1,TY56
421001002,1,TJL0
421001002,1,TTC6
421001002,1,TPO6
421001002,1,TGI4
421001002,1,TX4R
421001002,1,TBA5
421001002,1,TWUW
421001002,1,T61R
421001002,1,TKT8
421001002,1,TWTU
421001002,1,TU86
421001002,1,TTT0
421001002,1,TZUR
421001002,1,TKD6
421001002,1,TX6G
421001002,1,TSZ4
421001002,1,TX6H
421001002,1,T11E
421001002,1,TP92
421001002,1,TGQ9
421001002,1,TXXE
421001002,1,TAB3
421001002,1,TSZ7
421001002,1,TU99
421001002,1,TZNU
421001002,1,TX5P
421001002,1,TGJ0
421001002,1,TFM8
421001002,1,TXV5
421001002,1,T1RB
421001002,1,TSY1
421001002,1,TIS3
421001002,1,TGA2
421001002,1,TAN2
421001002,1,TX3L
421001002,1,TWVY
421001002,1,TW38
421001002,1,TTC1
421001002,1,TX7X
421001002,1,TWUB
421001002,1,TWUK
421001002,1,TDP4
421001002,1,TPZ3
421001002,1,TFZ3
421001002,1,TXXG
421001002,1,TXA1
421001002,1,TZE3
421001002,1,TP20
421001002,1,T9GJ
421001002,1,TX7V
421001002,1,TWUJ
421001002,1,TT56
421001002,1,TAFX
421001002,1,TPN7
421001002,1,TSU3
421001002,1,TIS1
421001002,1,TJJ7
421001002,1,TDU2
421001002,1,T88Q
421001002,1,TAJL
421001002,1,TWTR
421001002,1,TGD8
421001002,1,T9SK
421001002,1,T76K
421001002,1,T33U
421001002,1,TWTV
421001002,1,TTB9
421001002,1,TTB0
421001002,1,TSY7
421001002,1,TSU5
421001002,1,TWUE
421001002,1,T92K
421001002,1,TX5I
421001002,1,TEU3
421001002,1,TAHC
421001002,1,TIZ9
421001002,1,TWUS
421001002,1,TFS0
421001002,1,TX7F
421001002,1,TV40
421001002,1,TU13
421001002,1,TL89
421001002,1,TFR3
421001002,1,TW65
421001002,1,T196
421001002,1,TX8C
421001002,1,T9ME
421001002,1,TV31
421001002,1,TDV4
421001002,1,T80P
421001002,1,TXZT
421001002,1,TSV2
421001002,1,TLM5
421001002,1,TCT5
421001002,1,T35H
421001002,1,TMG3
421001002,1,TLN4
421001002,1,TLJ1
421001002,1,TDZ5
421001002,1,TCV4
421001002,1,TX76
421001002,1,TLU9
421001002,1,TJV4
421001002,1,TGR6
421001002,1,TAWR
421001002,1,TWUP
421001002,1,TTW1
421001002,1,TKC8
421001002,1,TDO3
421001002,1,TY61
421001002,1,TXZS
421001002,1,TTB1
421001002,1,TPO4
421001002,1,TTR6
421001002,1,TT99
421001002,1,TP26
421001002,1,TMJ1
421001002,1,TWUL
421001002,1,TW71
421001002,1,TKY4
421001002,1,TJZ4
421001002,1,TCA0
421001002,1,TLU8
421001002,1,TGM1
421001002,1,TFS2
421001002,1,TM97
421001002,1,TJZ0
421001002,1,TXQ3
421001002,1,TWTM
421001002,1,TTD6
421001002,1,TO77
421001002,1,TTE4
421001002,1,TSV4
421001002,1,TWTW
421001002,1,TEQ7
421001002,1,T57D
421001002,1,TGR8
421001002,1,TMD8
421001002,1,TJN0
421001002,1,TEB4
421001002,1,TSV3
421001002,1,TAPL
421001002,1,TWVN
421001002,1,TWVF
421001002,1,TKD9
421001002,1,TEZ3
421001002,1,TR96
421001002,1,TP34
421001002,1,TED4
421001002,1,TNR1
421001002,1,TTQ3
421001002,1,TMK1
421001002,1,TJE0
421001002,1,TFR1
421001002,1,TDZ0
421001002,1,T1DX
421001002,1,TTO7
421001002,1,TLA7
421001002,1,TGR3
421001002,1,TKB3
421001002,1,TJZ7
421001002,1,TSU1
421001002,1,TARK
421001002,1,TDV0
421001002,1,TA2X
421001002,1,TDD4
421001002,1,TXYI
421001002,1,TSW8
421001002,1,TKV8
421001002,1,TW36
421001002,1,TV95
421001002,1,TPU9
421001002,1,TGW0
421001002,1,TTC5
421001002,1,TFQ8
421001002,1,TDZ2
421001002,1,TPZ8
421001002,1,TW67
421001002,1,TWWC
421001002,1,TWTG
421001002,1,TDP7
