itemid,brandname,styletype,primarycolor,pattern,fabrictype,materialtype,sleeve,fit,neckline,imgcode,extension,mh_family_desc,mh_class_desc,brickname,mrp,total_qty,weekly_rate_of_sale,total_active_days
441020957_white,avaasa-mix-n-match,leggings,white,solid,cotton,,,,,h05/hed/14457428246558/,jpg,ethnic-wear,bottomwear,leggings,399.0,44612,18526,16.86
441020957_black,avaasa-mix-n-match,leggings,black,solid,cotton,,,,,h4b/h6c/14560443695134/,jpg,ethnic-wear,bottomwear,leggings,399.0,31322,14550,15.07
441020957_beige,avaasa-mix-n-match,leggings,beige,solid,cotton,,,,,he0/hfd/16494125219870/,jpg,ethnic-wear,bottomwear,leggings,399.0,17967,9378,13.41
443040338_lightyellow,kb-team-spirit,t-shirt,multicoloured,stripes,cotton,,short,,crew,20240416/NPuY/661ea47616fd2c6e6ab798e6/-,jpg,kids-boys,top-wear,t-shirts,478.4,11807,8595,9.62
443024030_fuchia,kg-frendz,round,fuchsia,typographic,cotton,,,,round,20240423/v1lg/6627cfe705ac7d77bb217305/-,jpg,kids-girls,tops,t-shirts,478.4,14465,8543,11.85
441139592_ltgrey,teamspirit,stylised,grey,solid,cotton,,,,,20240301/5Y73/65e194fd16fd2c6e6a30cb48/-,jpg,active-wear,bottoms,trackpants,599.0,14528,7876,12.91
443033451_white,avaasa-mix-n-match,basic,white,novelty,rayon,,3-4th,,round,20240304/NPNR/65e5b57505ac7d77bb947320/-,jpg,ethnic-wear,topwear,kurtas,1283.57,14299,7650,13.08
441020957_offwhite,avaasa-mix-n-match,leggings,off-white,solid,cotton,,,,,h2f/h15/14560500908062/,jpg,ethnic-wear,bottomwear,leggings,399.0,13756,7581,12.70
441113091_pink,teamspirit,pants,pink,solid,cotton,,,,,20220824/1Atm/63054a38f997dd394c173c6e/-,jpg,western-wear,active-wear,track-pants,998.0,13812,7481,12.92
443033474_blue,avaasa-mix-n-match,basic,teal-blue,floral,dobby,,3-4th,,round,20240304/pX7i/65e5b6f705ac7d77bb947c5c/-,jpg,ethnic-wear,topwear,kurtas,1283.57,12848,7187,12.51
441145507_white,netplay,shirts,white,solid,cotton,,full,slim,,20220909/Fq0n/631a4c21f997dd1f8def0aea/-,jpg,smart-casuals,tops,shirts,999.0,12927,7130,12.69
440535772_white,avaasa-mix-n-match,stylised,white,solid,cotton,,,,,hf0/he0/8799582945310/,jpg,ethnic-wear,bottomwear,churidars,399.0,12195,7065,12.08
441139592_jetblack,teamspirit,stylised,jet-black,solid,cotton,,,,,20220713/EPvM/62ced849f997dd03e2d181cf/-,jpg,active-wear,bottoms,trackpants,599.0,12682,7035,12.62
443038416_magntafusha,avaasa-mix-n-match,basic,magenta,micro-print,cotton,,3-4th,,round,20240311/OVnb/65ef1ced16fd2c6e6a4edf64/-,jpg,ethnic-wear,topwear,kurtas,1283.57,11757,6969,11.81
443038415_teal,avaasa-mix-n-match,basic,teal-blue,indian,cotton,,3-4th,,round,20240325/9puw/6601955916fd2c6e6a7debdb/-,jpg,ethnic-wear,topwear,kurtas,1497.86,11950,6877,12.16
441145505_khaki,netplay,shirt,beige,textured,cotton,,full,slim,,20220915/jv7X/632229a2f997dd1f8dffd79c/-,jpg,smart-casuals,tops,shirts,1049.0,12470,6841,12.76
441145505_white,netplay,shirt,white,solid,cotton,,full,slim,,20220628/oyFk/62bb1baeaeb26921af4d4dce/-,jpg,smart-casuals,tops,shirts,1049.0,11853,6623,12.53
443036048_magntafusha,avaasa-mix-n-match,basic,magenta,novelty,viscose,,3-4th,,round,20240304/x93j/65e5b6f316fd2c6e6a38f22c/-,jpg,ethnic-wear,topwear,kurtas,1497.86,11119,6547,11.89
441139592_ltblue,teamspirit,stylised,blue,solid,cotton,,,,,20220415/V59f/62588b6caeb26921af22e954/-,jpg,active-wear,bottoms,trackpants,599.0,11479,6431,12.49
441139592_charcoal,teamspirit,stylised,charcoal-black,solid,cotton,,,,,20240415/AW95/661d428616fd2c6e6ab20c9d/-,jpg,active-wear,bottoms,trackpants,599.0,11197,6421,12.21
441139590_navy,teamspirit,pants,navy,logo,cotton,,,,,20220429/vg7v/626c1a18f997dd03e28b4927/-,jpg,active-wear,bottoms,trackpants,699.0,11689,6386,12.81
441020957_red,avaasa-mix-n-match,leggings,red,solid,cotton,,,,,h50/hd7/14644604076062/,jpg,ethnic-wear,bottomwear,leggings,399.0,10852,6284,12.09
441139590_charcoal,teamspirit,pants,grey,heathered,cotton,,,,,20220620/xj9v/62b08fadaeb26921af3a1b92/-,jpg,active-wear,bottoms,trackpants,699.0,11737,6264,13.12
441145507_maroon,netplay,shirts,maroon,solid,cotton,,full,slim,,20220809/OLFj/62f27d0baeb26921afd735df/-,jpg,smart-casuals,tops,shirts,999.0,11027,6156,12.54
443005177_charcoal,dnmx,stylised,charcoal,solid,cotton,,,regular,,20230201/M15c/63da3f46f997dd708e318c74/-,jpg,casual-wear,bottoms,shorts,1573.25,10784,6141,12.29
443033478_ltblue,avaasa-mix-n-match,basic,blue,geometric,rayon,,3-4th,,mandarin,20240304/XjCw/65e5b7e805ac7d77bb948191/-,jpg,ethnic-wear,topwear,kurtas,1283.57,10656,6139,12.15
440971114_white,netplay,shirts,white,solid,cotton,,full,regular,,h28/h36/13003118182430/,jpg,smart-casuals,tops,shirts,1926.43,10949,6133,12.49
443033992_blue,kg-frendz,round,blue,graphic,cotton,,,,round,20240325/m9G8/66018e4305ac7d77bbd7b396/-,jpg,kids-girls,tops,t-shirts,299.0,10272,6124,11.74
443036476_blue,dnmx,crew,blue,typographic,cotton,,,,crew,20240305/QGg2/65e7052805ac7d77bb982a21/-,jpg,western-wear,club-wear,t-shirts,1081.17,10790,6091,12.40
443033483_purple,avaasa-mix-n-match,basic,grey,indian,polyester,,3-4th,,round,20240304/xn7i/65e5b33716fd2c6e6a38dddd/-,jpg,ethnic-wear,topwear,kurtas,1283.57,10689,6079,12.31
441020957_navy,avaasa-mix-n-match,leggings,navy-blue,solid,cotton,,,,,hd2/ha7/14513913200670/,jpg,ethnic-wear,bottomwear,leggings,399.0,10335,6018,12.02
443033461_ltblue,avaasa-mix-n-match,basic,blue,indian,cotton,,3-4th,,round,20240304/MFXi/65e5bab505ac7d77bb94938a/-,jpg,ethnic-wear,topwear,kurtas,1283.57,10822,5950,12.73
443038466_wine,avaasa-mix-n-match,basic,wine-red,embroidery,polyester,,3-4th,,round,20240321/VzEx/65fc56ce05ac7d77bbd022fe/-,jpg,ethnic-wear,topwear,kurtas,1283.57,9259,5920,10.95
443038473_white,avaasa-mix-n-match,basic,white,embroidery,cotton,,3-4th,,round,20240321/8QXe/65fc4a6905ac7d77bbcfd833/-,jpg,ethnic-wear,topwear,kurtas,1497.86,8952,5914,10.59
441139601_beige,teamspirit,stylised,grey,logo,cotton,,short,regular,collar,20220620/4RB6/62b093f0f997dd03e290c8e3/-,jpg,active-wear,tops,t-shirts,649.0,10585,5913,12.53
443038414_teal,avaasa-mix-n-match,basic,teal,indian,cotton,,3-4th,,round,20240311/Ct5U/65ef1be005ac7d77bba9cbe0/-,jpg,ethnic-wear,topwear,kurtas,1497.86,10196,5862,12.17
441148592_darkblue,teamspirit,t-shirts,navy-blue,logo,cotton,,short,regular,collar,20240301/um5U/65e193f516fd2c6e6a30c364/-,jpg,active-wear,tops,t-shirts,649.0,11099,5781,13.44
443033464_cream,avaasa-mix-n-match,basic,cream,paisley,polyester,,3-4th,,mandarin,20240304/ykxf/65e5b24616fd2c6e6a38d640/-,jpg,ethnic-wear,topwear,kurtas,1283.57,10252,5764,12.45
440857245_white,avaasa-mix-n-match,dupatta,white,solid,chiffon,,,,,hc3/hd2/11928265949214/,jpg,ethnic-wear,drapewear,dupattas,299.0,8513,5746,10.37
443036065_teal,avaasa-mix-n-match,basic,teal,embroidery,dobby,,3-4th,,round,20240304/eHIN/65e5b50e16fd2c6e6a38e67a/-,jpg,ethnic-wear,topwear,kurtas,1283.57,9706,5742,11.83
441146987_green,teamspirit,t-shirt,green,solid,cotton,,short,regular,crew,20220920/8H9B/6328c6a9f997dd1f8d08d195/-,jpg,active-wear,tops,t-shirts,449.0,10172,5711,12.47
443036467_peach,dnmx,crew,peach,graphic,cotton,,,,round,20240305/pndQ/65e7061605ac7d77bb9830b3/-,jpg,western-wear,club-wear,t-shirts,647.83,9460,5693,11.63
441020957_maroonburg,avaasa-mix-n-match,leggings,maroon,solid,cotton,,,,,hff/h56/14457411665950/,jpg,ethnic-wear,bottomwear,leggings,399.0,9648,5672,11.91
440535772_black,avaasa-mix-n-match,stylised,black,,cotton,,,,,h97/h95/8801496793118/,jpg,ethnic-wear,bottomwear,churidars,399.0,9529,5668,11.77
441145507_jetblack,netplay,shirts,jet-black,solid,cotton,,full,slim,,20220809/rn4i/62f286faaeb26921afd77081/-,jpg,smart-casuals,tops,shirts,999.0,9869,5665,12.19
441139601_darkgrey,teamspirit,stylised,grey,logo,cotton,,short,regular,collar,20220408/lI2y/624f3892f997dd03e24df946/-,jpg,active-wear,tops,t-shirts,649.0,9866,5664,12.19
443025186_fuchsia,fusion,stylised,fuchsia-pink,geometric,rayon,,3-4th,,round,20240418/GQN0/662108ef05ac7d77bb16461e/-,jpg,ethnic-wear,topwear,kurtas,1069.29,10420,5541,13.16
440971114_green,netplay,shirts,green,solid,cotton,,full,regular,,hd0/h6a/13003063001118/,jpg,smart-casuals,tops,shirts,1926.43,9547,5523,12.10
